Sigla,Código,Município,1998
AM,1301159,Careiro da Várzea,-3.2002777778
AM,1301209,Coari,-4.085
AM,1301308,Codajás,-3.8366666667
AM,1301407,Eirunepé,-6.6602777778
AM,1301506,Envira,-7.4333333333
AM,1301605,Fonte Boa,-2.5138888889
AM,1301654,Guajará,-7.5458333333
AM,1301704,Humaitá,-7.5061111111
AM,1301803,Ipixuna,-7.0505555556
AM,1301852,Iranduba,-3.2847222222
AM,1301902,Itacoatiara,-3.1430555556
AM,1301951,Itamarati,-6.425
AM,1302009,Itapiranga,-2.7488888889
AM,1302108,Japurá,-1.8261111111
AM,1302207,Juruá,-3.4811111111
AM,1302306,Jutaí,-2.7466666667
AM,1302405,Lábrea,-7.2586111111
AM,1302504,Manacapuru,-3.2997222222
AM,1302553,Manaquiri,-3.4280555556
AM,1302603,Manaus,-3.1019444444
AM,1302702,Manicoré,-5.8091666667
AM,1302801,Maraã,-1.8561111111
AM,1302900,Maués,-3.3836111111
AM,1303007,Nhamundá,-2.1861111111
AM,1303106,Nova Olinda do Norte,-3.8880555556
AM,1303205,Novo Airão,-2.6213888889
AM,1303304,Novo Aripuanã,-5.1205555556
AM,1303403,Parintins,-2.6283333333
AM,1303502,Pauini,-7.7136111111
AM,1303536,Presidente Figueiredo,-2.0344444444
AM,1303569,Rio Preto da Eva,-2.6994444444
AM,1303601,Santa Isabel do Rio Negro,-0.4138888889
AM,1303700,Santo Antônio do Içá,-3.1022222222
AM,1303809,São Gabriel da Cachoeira,-0.1302777778
AM,1303908,São Paulo de Olivença,-3.3783333333
AM,1303957,São Sebastião do Uatumã,-2.5719444444
AM,1304005,Silves,-2.8388888889
AM,1304062,Tabatinga,-4.2525
AM,1304104,Tapauá,-5.6283333333
AM,1304203,Tefé,-3.3541666667
AM,1304237,Tonantins,-2.8730555556
AM,1304260,Uarini,-2.99
AM,1304302,Urucará,-2.5363888889
AM,1304401,Urucurituba,-3.1308333333
AP,1600055,Serra do Navio,0.8955555556
AP,1600105,Amapá,2.0533333333
AP,1600154,Pedra Branca do Amaparí,0.7780555556
AP,1600204,Calçoene,2.4975
AP,1600212,Cutias,0.9861111111
AP,1600238,Ferreira Gomes,0.8583333333
AP,1600253,Itaubal,0.7116666667
AP,1600279,Laranjal do Jari,-1.12
AP,1600303,Macapá,0.0388888889
AP,1600402,Mazagão,-0.115
AP,1600501,Oiapoque,3.8430555556
AP,1600535,Porto Grande,0.7133333333
AP,1600550,Pracuúba,1.7433333333
AP,1600600,Santana,-0.0583333333
AP,1600709,Tartarugalzinho,1.5055555556
AP,1600808,Vitória do Jari,-0.9172222222
BA,2900108,Abaíra,-13.2497222222
BA,2900207,Abaré,-8.7202777778
BA,2900306,Acajutiba,-11.6622222222
BA,2900355,Adustina,-10.5333333333
BA,2900405,Água Fria,-11.8666666667
BA,2900504,Érico Cardoso,-13.4177777778
BA,2900603,Aiquara,-14.1294444444
BA,2900702,Alagoinhas,-12.1355555556
BA,2900801,Alcobaça,-17.5194444444
BA,2900900,Almadina,-14.7052777778
BA,2901007,Amargosa,-13.0302777778
BA,2901106,Amélia Rodrigues,-12.3916666667
BA,2901155,América Dourada,-11.4552777778
BA,2901205,Anagé,-14.6122222222
BA,2901304,Andaraí,-12.8072222222
BA,2901353,Andorinha,-10.3447222222
BA,2901403,Angical,-12.0069444444
BA,2901502,Anguera,-12.1511111111
BA,2901601,Antas,-10.4
BA,2901700,Antônio Cardoso,-12.4352777778
BA,2901809,Antônio Gonçalves,-10.5727777778
BA,2901908,Aporá,-11.6602777778
BA,2901957,Apuarema,-13.8563888889
BA,2902005,Aracatu,-14.4275
BA,2902054,Araças,-12.2111111111
BA,2902104,Araci,-11.3333333333
BA,2902203,Aramari,-12.0816666667
BA,2902252,Arataca,-15.2633333333
BA,2902302,Aratuípe,-13.0788888889
BA,2902401,Aurelino Leal,-14.3166666667
BA,2902500,Baianópolis,-12.3063888889
BA,2902609,Baixa Grande,-11.9597222222
BA,2902658,Banzaê,-10.5769444444
BA,2902708,Barra,-11.0894444444
BA,2902807,Barra da Estiva,-13.6261111111
BA,2902906,Barra do Choça,-14.8811111111
BA,2903003,Barra do Mendes,-11.81
BA,2903102,Barra do Rocha,-14.2105555556
BA,2903201,Barreiras,-12.1527777778
BA,2903235,Barro Alto,-11.7608333333
BA,2903276,Barrocas,
BA,2903300,Governador Lomanto Júnior,-14.8097222222
BA,2903409,Belmonte,-15.8630555556
BA,2903508,Belo Campo,-15.0383333333
BA,2903607,Biritinga,-11.6166666667
BA,2903706,Boa Nova,-14.3625
BA,2903805,Boa Vista do Tupim,-12.6602777778
BA,2903904,Bom Jesus da Lapa,-13.255
BA,2903953,Bom Jesus da Serra,-14.3736111111
BA,2904001,Boninal,-12.7016666667
BA,2904050,Bonito,-11.9694444444
BA,2904100,Boquira,-12.8230555556
BA,2904209,Botuporã,-13.3816666667
BA,2904308,Brejões,-13.1044444444
BA,2904407,Brejolândia,-12.4830555556
BA,2904506,Brotas de Macaúbas,-11.9988888889
BA,2904605,Brumado,-14.2036111111
BA,2904704,Buerarema,-14.9594444444
BA,2904753,Buritirama,-10.7077777778
BA,2904803,Caatiba,-14.9766666667
BA,2904852,Cabaceiras do Paraguaçu,-12.5355555556
BA,2904902,Cachoeira,-12.6183333333
BA,2905008,Caculé,-14.5033333333
BA,2905107,Caém,-11.0905555556
BA,2905156,Caetanos,-14.3375
BA,2905206,Caetité,-14.0694444444
BA,2905305,Cafarnaum,-11.6936111111
BA,2905404,Cairu,-13.4869444444
BA,2905503,Caldeirão Grande,-11.02
BA,2905602,Camacan,-15.4191666667
BA,2905701,Camaçari,-12.6975
BA,2905800,Camamu,-13.9447222222
BA,2905909,Campo Alegre de Lourdes,-9.5155555556
BA,2906006,Campo Formoso,-10.5075
BA,2906105,Canápolis,-13.0697222222
BA,2906204,Canarana,-11.6847222222
BA,2906303,Canavieiras,-15.675
BA,2906402,Candeal,-11.8080555556
BA,2906501,Candeias,-12.6677777778
BA,2906600,Candiba,-14.4108333333
BA,2906709,Cândido Sales,-15.505
BA,2906808,Cansanção,-10.6672222222
BA,2906824,Canudos,-9.8966666667
BA,2906857,Capela do Alto Alegre,-11.6680555556
BA,2906873,Capim Grosso,-11.3811111111
BA,2906899,Caraíbas,-14.7258333333
BA,2906907,Caravelas,-17.7319444444
BA,2907004,Cardeal da Silva,-11.9416666667
BA,2907103,Carinhanha,-14.3047222222
BA,2907202,Casa Nova,-9.1619444444
BA,2907301,Castro Alves,-12.7655555556
BA,2907400,Catolândia,-12.3180555556
BA,2907509,Catu,-12.3530555556
BA,2907558,Caturama,-13.3294444444
BA,2907608,Central,-11.1355555556
BA,2907707,Chorrochó,-8.9797222222
BA,2907806,Cícero Dantas,-10.6
BA,2907905,Cipó,-11.0997222222
BA,2908002,Coaraci,-14.6408333333
BA,2908101,Cocos,-14.1838888889
BA,2908200,Conceição da Feira,-12.5058333333
BA,2908309,Conceição do Almeida,-12.7794444444
BA,2908408,Conceição do Coité,-11.5638888889
BA,2908507,Conceição do Jacuípe,-12.3166666667
BA,2908606,Conde,-11.8136111111
BA,2908705,Condeúba,-14.8952777778
BA,2908804,Contendas do Sincorá,-13.7627777778
BA,2908903,Coração de Maria,-12.2333333333
BA,2909000,Cordeiros,-15.0386111111
BA,2909109,Coribe,-13.8291666667
BA,2909208,Coronel João Sá,-10.2841666667
BA,2909307,Correntina,-13.3433333333
BA,2909406,Cotegipe,-12.0283333333
BA,2909505,Cravolândia,-13.3586111111
BA,2909604,Crisópolis,-11.5105555556
BA,2909703,Cristópolis,-12.2336111111
BA,2909802,Cruz das Almas,-12.67
BA,2909901,Curaçá,-8.9902777778
BA,2910008,Dário Meira,-14.4363888889
BA,2910057,Dias d'Ávila,-12.6125
BA,2910107,Dom Basílio,-13.7602777778
BA,2910206,Dom Macedo Costa,-12.905
BA,2910305,Elísio Medrado,-12.9463888889
BA,2910404,Encruzilhada,-15.5313888889
BA,2910503,Entre Rios,-11.9419444444
BA,2910602,Esplanada,-11.7961111111
BA,2910701,Euclides da Cunha,-10.5075
BA,2910727,Eunápolis,-16.3775
BA,2910750,Fátima,-10.6
BA,2910776,Feira da Mata,-14.2127777778
BA,2910800,Feira de Santana,-12.2666666667
BA,2910859,Filadélfia,-10.7427777778
BA,2910909,Firmino Alves,-14.9852777778
BA,2911006,Floresta Azul,-14.86
BA,2911105,Formosa do Rio Preto,-11.0483333333
BA,2911204,Gandu,-13.7438888889
BA,2911253,Gavião,-11.4705555556
BA,2911303,Gentio do Ouro,-11.4288888889
BA,2911402,Glória,-9.3380555556
BA,2911501,Gongogi,-14.3222222222
BA,2911600,Governador Mangabeira,-12.6019444444
BA,2911659,Guajeru,-14.5472222222
BA,2911709,Guanambi,-14.2233333333
BA,2911808,Guaratinga,-16.5838888889
BA,2911857,Heliópolis,-10.6833333333
BA,2911907,Iaçu,-12.7672222222
BA,2912004,Ibiassucê,-14.2594444444
BA,2912103,Ibicaraí,-14.865
BA,2912202,Ibicoara,-13.4105555556
