Sigla,Código,Município,1998
AM,1301704,Humaitá,63.0208333333
AM,1301803,Ipixuna,71.6947222222
AM,1301852,Iranduba,60.1861111111
AM,1301902,Itacoatiara,58.4441666667
AM,1301951,Itamarati,68.2533333333
AM,1302009,Itapiranga,58.0219444444
AM,1302108,Japurá,66.5988888889
AM,1302207,Juruá,66.0688888889
AM,1302306,Jutaí,66.7666666667
AM,1302405,Lábrea,64.7980555556
AM,1302504,Manacapuru,60.6205555556
AM,1302553,Manaquiri,60.4594444444
AM,1302603,Manaus,60.025
AM,1302702,Manicoré,61.3002777778
AM,1302801,Maraã,65.5811111111
AM,1302900,Maués,57.7186111111
AM,1303007,Nhamundá,56.7130555556
AM,1303106,Nova Olinda do Norte,59.0941666667
AM,1303205,Novo Airão,60.9441666667
AM,1303304,Novo Aripuanã,60.3797222222
AM,1303403,Parintins,56.7358333333
AM,1303502,Pauini,66.9763888889
AM,1303536,Presidente Figueiredo,60.025
AM,1303569,Rio Preto da Eva,59.6997222222
AM,1303601,Santa Isabel do Rio Negro,65.0191666667
AM,1303700,Santo Antônio do Içá,67.9397222222
AM,1303809,São Gabriel da Cachoeira,67.0891666667
AM,1303908,São Paulo de Olivença,68.8725
AM,1303957,São Sebastião do Uatumã,57.8708333333
AM,1304005,Silves,58.2091666667
AM,1304062,Tabatinga,69.9380555556
AM,1304104,Tapauá,63.1833333333
AM,1304203,Tefé,64.7113888889
AM,1304237,Tonantins,67.8022222222
AM,1304260,Uarini,65.1083333333
AM,1304302,Urucará,57.76
AM,1304401,Urucurituba,58.155
AP,1600055,Serra do Navio,52.0022222222
AP,1600105,Amapá,50.7930555556
AP,1600154,Pedra Branca do Amaparí,51.9436111111
AP,1600204,Calçoene,50.9486111111
AP,1600212,Cutias,50.8022222222
AP,1600238,Ferreira Gomes,51.18
AP,1600253,Itaubal,50.8
AP,1600279,Laranjal do Jari,52
AP,1600303,Macapá,51.0663888889
AP,1600402,Mazagão,51.2894444444
AP,1600501,Oiapoque,51.835
AP,1600535,Porto Grande,51.4133333333
AP,1600550,Pracuúba,50.7913888889
AP,1600600,Santana,51.1816666667
AP,1600709,Tartarugalzinho,50.9119444444
AP,1600808,Vitória do Jari,52.4080555556
BA,2900108,Abaíra,41.6636111111
BA,2900207,Abaré,39.1138888889
BA,2900306,Acajutiba,38.0172222222
BA,2900355,Adustina,38.1
BA,2900405,Água Fria,38.7666666667
