Sigla,Código,Município,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL,2702405,Delmiro Gouveia,16,13,8,4,3,10,1,3,5,2,2,8,17,18,21,18,22,14,36,21,20,13,17,11,15,18,16,15,9
AL,2702504,Dois Riachos,,2,,1,,2,1,3,3,1,3,2,4,5,4,6,3,5,2,2,6,5,7,3,5,4,5,,5
AL,2702553,Estrela de Alagoas,,,2,1,,2,1,2,4,1,2,5,2,6,5,6,8,3,6,5,7,8,5,7,4,9,2,4,2
AL,2702603,Feira Grande,3,1,,1,1,,2,3,4,5,,5,3,3,8,7,5,11,12,15,9,6,20,11,8,10,8,4,3
AL,2702702,Feliz Deserto,,1,,,,,,1,,1,,,,1,2,1,,,3,2,2,2,3,1,9,2,1,2,5
AL,2702801,Flexeiras,3,7,3,5,6,5,2,1,4,1,3,3,5,3,6,5,6,5,6,11,3,7,6,10,10,7,8,4,12
AL,2702900,Girau do Ponciano,5,1,2,1,2,3,5,2,6,2,3,5,2,,4,3,7,12,10,19,5,8,8,14,21,9,14,8,3
AL,2703007,Ibateguara,3,3,1,4,4,4,1,1,,2,5,5,1,3,10,12,6,6,9,8,13,12,9,11,11,8,10,7,9
AL,2703106,Igaci,3,2,2,4,3,2,1,2,5,2,5,1,7,10,10,17,11,7,15,8,6,8,9,10,10,6,9,6,11
AL,2703205,Igreja Nova,2,,2,2,2,,6,7,5,2,4,4,3,2,4,6,8,4,6,10,5,9,5,4,12,6,8,6,5
AL,2703304,Inhapi,,,1,,,,,2,3,3,,3,8,4,8,4,7,6,3,5,7,7,11,6,9,7,14,9,3
AL,2703403,Jacaré dos Homens,,,,,,,1,2,,,,2,,3,,2,1,3,3,2,1,2,1,2,,,1,1,4
AL,2703502,Jacuípe,,1,3,2,2,1,1,1,4,2,1,1,1,1,,1,1,2,1,5,1,3,3,3,1,7,4,5,1
AL,2703601,Japaratinga,3,2,3,1,1,4,1,3,3,,1,1,,5,2,1,1,4,,2,1,4,2,3,,4,2,8,2
AL,2703700,Jaramataia,1,1,,,1,,1,1,,,2,1,1,1,5,1,3,2,1,1,5,5,6,1,6,3,2,4,2
AL,2703759,Jequiá da Praia,,,,,,,,,,,1,2,2,4,,,1,4,1,4,1,,1,1,7,3,3,5,6
AL,2703809,Joaquim Gomes,6,1,5,4,4,3,2,1,2,4,5,5,8,13,17,11,13,16,13,16,24,23,15,19,6,22,10,10,8
AL,2703908,Jundiá,2,2,3,3,4,,,1,1,3,,3,3,,1,1,2,,1,,3,1,2,5,1,2,2,,3
AL,2704005,Junqueiro,4,5,2,8,4,,3,4,2,1,4,7,7,6,2,10,10,13,9,9,5,17,17,9,8,11,5,10,11
AL,2704104,Lagoa da Canoa,2,1,2,1,3,1,4,1,3,2,3,2,2,2,5,4,5,3,6,11,13,10,9,8,9,14,12,6,9
AL,2704203,Limoeiro de Anadia,6,,7,4,6,2,3,4,4,1,5,2,1,1,7,8,6,6,9,3,8,17,7,9,11,7,7,4,5
AL,2704302,Maceió,273,287,286,331,357,287,255,243,360,485,511,435,494,573,789,829,933,810,918,915,761,826,740,573,565,617,518,362,400
AL,2704401,Major Isidoro,4,3,2,1,2,3,,3,2,1,5,6,7,3,9,9,6,6,6,6,13,9,13,10,7,6,4,6,10
AL,2704500,Maragogi,1,7,6,13,4,6,3,6,7,7,3,13,10,5,4,14,10,12,10,9,8,14,15,14,23,21,13,15,21
AL,2704609,Maravilha,,1,2,1,1,,1,2,,,,1,,4,1,3,,2,4,2,2,4,1,1,8,4,2,2,5
AL,2704708,Marechal Deodoro,1,2,1,10,6,7,6,5,9,11,16,16,18,14,23,36,35,41,41,58,57,58,46,32,24,28,17,10,15
AL,2704807,Maribondo,7,1,1,2,1,2,4,7,2,1,2,1,3,2,8,5,10,8,3,12,19,13,13,12,7,9,8,,11
AL,2704906,Mar Vermelho,,,,,,,,,,,,,,1,2,1,,,,1,1,,2,2,1,1,,,1
